구별,동별,사업장명,소재지도로명주소,위도,경도,지역명
분당구,구미동,분당필동물병원,경기도 성남시 분당구 금곡로15번길 1 (구미동),37.3438379,127.1107543,분당구 구미동
분당구,구미동,현대 동물병원,"경기도 성남시 분당구 성남대로 30, 111호 (구미동, 동아그린프라자)",37.3383428,127.1094354,분당구 구미동
분당구,구미동,24시분당리더스동물의료원,"경기도 성남시 분당구 성남대로 45, 계영빌딩 202, 203호 (구미동)",37.3400118,127.1083921,분당구 구미동
분당구,구미동,한국동물선진의료연구소(KASMINE) 동물심혈관신장센터,"경기도 성남시 분당구 미금로 43, 정운빌딩 1층 (구미동)",37.3370941,127.115965,분당구 구미동
분당구,구미동,나라 동물병원,"경기도 성남시 분당구 미금로 48, 오성프라자 113호 (구미동)",37.3378333,127.1165434,분당구 구미동
분당구,구미동,뉴욕동물병원,"경기도 성남시 분당구 성남대로 52, 그랜드프라자 102호 (구미동)",37.3404299,127.109348,분당구 구미동
분당구,구미동,365동물병원 분당점,"경기도 성남시 분당구 미금일로90번길 32, 125호 (구미동)",37.3489258,127.1104646,분당구 구미동
분당구,금곡동,에버펫동물병원,"경기도 성남시 분당구 성남대로 165, 118호 (금곡동)",37.3503821,127.1077536,분당구 금곡동
분당구,금곡동,굿모닝펫 동물병원,"경기도 성남시 분당구 정자일로 55, 108-110호 (금곡동, 분당두산위브아파트)",37.3552113,127.1052495,분당구 금곡동
분당구,금곡동,엔젤동물병원,"경기도 성남시 분당구 성남대로171번길 17, 씨티밸리 101호 (금곡동)",37.3511376,127.1068064,분당구 금곡동
분당구,금곡동,동물병원루니,"경기도 성남시 분당구 미금로 251, 112·201·202·203호 (금곡동, 청솔마을성원아파트)",37.3526466,127.110296,분당구 금곡동
분당구,대장동,판교포레동물병원,"경기도 성남시 분당구 판교대장로6길 10,  동 207,208,209,210호 (대장동)",37.3643632,127.0679194,분당구 대장동
분당구,대장동,소랑동물병원,"경기도 성남시 분당구 판교대장로7길 16, 1층 102호 (대장동, 힐스테이트 판교 엘포레 A6BL)",37.3738839,127.0681773,분당구 대장동
분당구,백현동,AtoZ동물병원,"경기도 성남시 분당구 판교역로 145, 라스트리트2동 2층 213호 (백현동, 알파리움2단지)",37.3938154,127.1083768,분당구 백현동
분당구,백현동,365동판교동물병원,"경기도 성남시 분당구 판교역로14번길 20, (주)코레드디엔씨 2층 201호 (백현동)",37.3854765,127.1114388,분당구 백현동
분당구,백현동,백현 동물병원,"경기도 성남시 분당구 동판교로52번길 6, 외 1필지(분당구 동판교로52번길 8) 1층 (백현동)",37.3874986,127.1142145,분당구 백현동
분당구,백현동,힐링힐스 동물 치과병원,경기도 성남시 분당구 동판교로52번길 9-11 (백현동),37.3873797,127.1154736,분당구 백현동
분당구,백현동,판교종합 동물병원,경기도 성남시 분당구 동판교로 122 (백현동),37.3931648,127.1188777,분당구 백현동
분당구,분당동,활기찬동물병원,"경기도 성남시 분당구 장안로 39, 한일빌딩 102-2호 (분당동)",37.3704363,127.1434492,분당구 분당동
분당구,삼평동,판교 행복한 동물병원,"경기도 성남시 분당구 동판교로 226, 204·205·206호 (삼평동, 봇들마을4단지아파트)",37.40413230000001,127.117676,분당구 삼평동
분당구,서현동,서울종합동물병원,경기도 성남시 분당구 불정로 381 (서현동),37.3745816,127.136712,분당구 서현동
분당구,서현동,우성동물병원,"경기도 성남시 분당구 돌마로 481, 분당우성프라자 (서현동)",37.3777365,127.1328726,분당구 서현동
분당구,서현동,Dr. 오즈 동물병원,"경기도 성남시 분당구 분당로263번길 39, 109호 (서현동, 레이디파크)",37.3720259,127.1401585,분당구 서현동
분당구,서현동,해마루 동물병원,경기도 성남시 분당구 황새울로319번길 8-6 (서현동),37.38570139999999,127.1211025,분당구 서현동
분당구,서현동,미래동물의료센터,"경기도 성남시 분당구 서현로255번길 1, 1층 (서현동)",37.3845759,127.1296822,분당구 서현동
분당구,서현동,아프리카 동물병원,"경기도 성남시 분당구 서현로 170, 풍림아이원플러스 108호 (서현동)",37.3889821,127.1225406,분당구 서현동
분당구,서현동,분당중앙 동물병원,"경기도 성남시 분당구 중앙공원로39번길 49, 서현 지엔느 108호 (서현동)",37.383782,127.1247659,분당구 서현동
분당구,서현동,서현동물병원,"경기도 성남시 분당구 중앙공원로31번길 42, 서현파크플라자 1층 142호 (서현동)",37.3830904,127.1254883,분당구 서현동
분당구,수내동,서공동물병원,"경기도 성남시 분당구 내정로 170, 동신파크빌딩 204호 (수내동)",37.3734849,127.1196806,분당구 수내동
분당구,수내동,이레외과동물병원,"경기도 성남시 분당구 백현로101번길 11, 동현프라자 205호 (수내동)",37.3771437,127.1120174,분당구 수내동
분당구,수내동,펫 앤 쉘터 동물병원,"경기도 성남시 분당구 불정로 266, 2층 (수내동, 그린플라자)",37.3670982,127.1276731,분당구 수내동
분당구,수내동,금산헤르쯔 동물병원,"경기도 성남시 분당구 돌마로 364, 현대제일상가 21호 (수내동)",37.36997849999999,127.1236449,분당구 수내동
분당구,수내동,남현우동물병원,"경기도 성남시 분당구 내정로173번길 11, 603동 139호 (수내동, 양지마을한양아파트)",37.3747755,127.1184461,분당구 수내동
분당구,수내동,분당 피엘 동물피부클리닉,"경기도 성남시 분당구 수내로 39, 223호 (수내동, 분당지웰푸르지오)",37.3815218,127.1175406,분당구 수내동
분당구,야탑동,젠(Gen)동물병원,"경기도 성남시 분당구 양현로 479, 2층 (야탑동)",37.4166363,127.135411,분당구 야탑동
분당구,야탑동,아이펫동물병원,"경기도 성남시 분당구 장미로 78, 시그마3 105호 (야탑동)",37.4135078,127.1295646,분당구 야탑동
분당구,야탑동,야탑서울동물병원,"경기도 성남시 분당구 벌말로 33, 206호 (야탑동, 일심조합상가)",37.4110144,127.1379074,분당구 야탑동
분당구,야탑동,분당고은 동물병원,"경기도 성남시 분당구 매화로 40 (야탑동, 동륜빌딩)",37.4111556,127.1341749,분당구 야탑동
분당구,야탑동,분당24시동물의료센터,"경기도 성남시 분당구 야탑로 24, 101호 (야탑동, 덕인빌딩)",37.4085396,127.121617,분당구 야탑동
분당구,야탑동,딜리동물병원,"경기도 성남시 분당구 성남대로 884-9, 101호 (야탑동, 라비앙오피스텔)",37.3989518,127.1555214,분당구 야탑동
분당구,야탑동,우리들 동물병원,"경기도 성남시 분당구 야탑로 103, 노블리치2 오피스텔 2층 206호 (야탑동)",37.4101358,127.1301618,분당구 야탑동
분당구,운중동,어니스트 동물병원,"경기도 성남시 분당구 운중로113번길 12-5, 1층 (운중동, MM하우스)",37.3927815,127.0762833,분당구 운중동
분당구,운중동,라엘동물의료센터,"경기도 성남시 분당구 운중로 172, 트윈플라자-1 101,102호 (운중동)",37.3910153,127.0823084,분당구 운중동
