구별,동별,사업장명,소재지도로명주소,위도,경도,지역명
분당구,구미동,무지개약국,"경기도 성남시 분당구 탄천상로151번길 20, 월드쇼핑,삼성SDA 지1층 C-1호 (구미동)",37.3400457,127.1069711,분당구 구미동
분당구,구미동,미래팜대학약국,"경기도 성남시 분당구 돌마로 46, 101호 (구미동)",37.3437715,127.1194183,분당구 구미동
분당구,구미동,하나약국,"경기도 성남시 분당구 미금일로 71, 하나빌딩 101호 (구미동)",37.3456093,127.111807,분당구 구미동
분당구,구미동,무지개약국,"경기도 성남시 분당구 탄천상로151번길 20, 월드쇼핑(CGV Square) 지1층 C-1호 (구미동)",37.3400457,127.1069711,분당구 구미동
분당구,구미동,경민약국,"경기도 성남시 분당구 돌마로 52, MD프라자 1층 106호 (구미동)",37.34473029999999,127.1189764,분당구 구미동
분당구,구미동,성빈약국,"경기도 성남시 분당구 미금로 48, 302호 (구미동, 오성플라자)",37.3378333,127.1165434,분당구 구미동
분당구,구미동,시니어스약국,"경기도 성남시 분당구 구미로173번길 47, 서울시니어스분당타워 161호 (구미동)",37.347236,127.1233885,분당구 구미동
분당구,구미동,분당메디칼약국,"경기도 성남시 분당구 돌마로 68, 분당프라자 1층 112,113호 (구미동)",37.3496405,127.1095316,분당구 구미동
분당구,구미동,청 한약국,"경기도 성남시 분당구 미금일로80번길 6, 1층 (구미동)",37.34649,127.1110573,분당구 구미동
분당구,구미동,알파약국,"경기도 성남시 분당구 돌마로 68, 분당프라자 308호 (구미동)",37.3496405,127.1095316,분당구 구미동
분당구,구미동,더사랑약국,"경기도 성남시 분당구 돌마로 68, 분당프라자 5층 508호 (구미동)",37.34659750000001,127.1302351,분당구 구미동
분당구,구미동,우리마을약국,"경기도 성남시 분당구 미금일로 55, 하얀마을아파트 205호 (구미동)",37.3457432,127.1136741,분당구 구미동
분당구,궁내동,버즈약국,"경기도 성남시 분당구 궁내로40번길 39, 104호 (궁내동)",37.3705305,127.1012188,분당구 궁내동
분당구,금곡동,온누리 길약국,"경기도 성남시 분당구 돌마로 67, 금산젬월드 115호 (금곡동)",37.3504592,127.1095067,분당구 금곡동
분당구,금곡동,건강백세약국,"경기도 성남시 분당구 돌마로 43, 메디파크빌딩 1층 102호 (금곡동)",37.3617705,127.100559,분당구 금곡동
분당구,금곡동,태광약국,"경기도 성남시 분당구 성남대로 168 (금곡동, 미도프라자)",37.3509246,127.1093795,분당구 금곡동
분당구,금곡동,미금프라자약국,"경기도 성남시 분당구 돌마로 75, 미금프라자 1층 105호 (금곡동)",37.3625768,127.0996798,분당구 금곡동
분당구,금곡동,분당종로약국,"경기도 성남시 분당구 돌마로 87, 골드프라자 101~104호 (금곡동)",37.3503939,127.11172,분당구 금곡동
분당구,금곡동,새분당서울약국,"경기도 성남시 분당구 돌마로 75, 106호 (금곡동, 미금프라자)",37.3503414,127.1103794,분당구 금곡동
분당구,금곡동,분당중앙 약국,"경기도 성남시 분당구 정자일로 25, 103호 (금곡동, 대덕프라자)",37.3524013,127.1056605,분당구 금곡동
분당구,금곡동,365그린약국,"경기도 성남시 분당구 성남대로 165, 천사의도시1 오피스텔 2층 231호 (금곡동)",37.3507302,127.1082963,분당구 금곡동
분당구,금곡동,가자크린팜대학약국,"경기도 성남시 분당구 금곡로 233, 상가동 101,102호 (금곡동, 청솔마을)",37.3531383,127.1120765,분당구 금곡동
분당구,금곡동,청솔약국,"경기도 성남시 분당구 돌마로 79, 썬프라자 107호 (금곡동)",37.3504,127.1107955,분당구 금곡동
분당구,금곡동,임약국,"경기도 성남시 분당구 성남대로 170, 301호 (금곡동, 한국프라자)",37.3595159,127.1007226,분당구 금곡동
분당구,대장동,대장푸른약국,"경기도 성남시 분당구 판교대장로 84, 105호 (대장동)",37.3664054,127.0684005,분당구 대장동
분당구,대장동,참약사 대장약국,"경기도 성남시 분당구 판교대장로6길 10, 107호 (대장동)",37.371884,127.0671484,분당구 대장동
분당구,백현동,휴베이스 알파약국,"경기도 성남시 분당구 분당내곡로 131, 2층 9호 (백현동)",37.3954881,127.1121146,분당구 백현동
분당구,백현동,옵티마희망약국,"경기도 성남시 분당구 동판교로 92, 201-2호 (백현동, 백현마을3단지)",37.3898932,127.1177147,분당구 백현동
분당구,백현동,시티약국,"경기도 성남시 분당구 판교역로 152, 3층 (백현동)",37.3942237,127.1103225,분당구 백현동
분당구,백현동,베르데약국,"경기도 성남시 분당구 판교역로18번길 22, YH빌딩 1층 102호 (백현동)",37.3857043,127.1109812,분당구 백현동
분당구,백현동,판교365약국,"경기도 성남시 분당구 분당내곡로 117, 크래프톤타워 1층 (백현동)",37.394224,127.1121616,분당구 백현동
분당구,분당동,삼보당약국,"경기도 성남시 분당구 분당로263번길 24, 101호 (분당동, 건영아파트11차 종합상가)",37.3701257,127.1393421,분당구 분당동
분당구,분당동,분당우리약국,"경기도 성남시 분당구 장안로 27, SNH타워 1층 101호 (분당동)",37.3697346,127.1424498,분당구 분당동
분당구,삼평동,판교마트약국,"경기도 성남시 분당구 대왕판교로606번길 58, 판교푸르지오월드마크 지하1층 약국코너호 (삼평동)",37.3955218,127.113649,분당구 삼평동
분당구,삼평동,웰츠약국,"경기도 성남시 분당구 분당내곡로 159, A동 115호 (삼평동)",37.3979905,127.1125195,분당구 삼평동
분당구,삼평동,봇들약국,"경기도 성남시 분당구 판교로 376, 마크시티 퍼플 5층 (삼평동)",37.4039166,127.1161576,분당구 삼평동
분당구,삼평동,판교태평양약국,"경기도 성남시 분당구 분당내곡로 151, 1층 110호 (삼평동)",37.3973803,127.1125178,분당구 삼평동
분당구,삼평동,판교조은약국,"경기도 성남시 분당구 대왕판교로606번길 39, 105호 (삼평동, 럭스타워)",37.3964792,127.1115011,분당구 삼평동
분당구,삼평동,판교이화자연약국,경기도 성남시 분당구 판교역로192번길 16 (삼평동),37.397763,127.1114286,분당구 삼평동
분당구,삼평동,판교온누리약국,"경기도 성남시 분당구 판교로 375, 106호 (삼평동,에메트타운)",37.404196,127.1153218,분당구 삼평동
분당구,삼평동,원이약국,"경기도 성남시 분당구 대왕판교로606번길 58, 판교푸르지오월드마크 1층 1-89호 (삼평동)",37.3955218,127.113649,분당구 삼평동
분당구,삼평동,해피약국,"경기도 성남시 분당구 판교역로 178, 서건타워 1층 109호 (삼평동)",37.39653020000001,127.110017,분당구 삼평동
분당구,삼평동,혜준온누리약국,"경기도 성남시 분당구 판교역로 235, 에이치스퀘어 엔동 103호 (삼평동)",37.4020664,127.1086468,분당구 삼평동
분당구,삼평동,프라임정약국,"경기도 성남시 분당구 대왕판교로606번길 41, 프라임스퀘어 4층 401호 (삼평동)",37.3964469,127.1119335,분당구 삼평동
분당구,삼평동,봇들약국,"경기도 성남시 분당구 판교로 376, 마크시티 퍼플 504(일부)호 (삼평동)",37.4039166,127.1161576,분당구 삼평동
분당구,삼평동,광장약국,"경기도 성남시 분당구 대왕판교로 670, 유스페이스2 B동 122호 (삼평동)",37.4020682,127.1066709,분당구 삼평동
분당구,삼평동,나은약국,"경기도 성남시 분당구 판교로 374, 스타식스코아2 109호 (삼평동)",37.4038168,127.1159211,분당구 삼평동
분당구,삼평동,럭스온누리약국,"경기도 성남시 분당구 대왕판교로606번길 39, 105호 (삼평동, 럭스타워)",37.3964792,127.1115011,분당구 삼평동
