지역명,위도,경도,동물소유자수,반려동물수,병원수,약국수,동물소유자수_정규화,반려동물수_정규화,병원수_정규화,약국수_정규화
분당구 구미동,37.34756718880425,127.10751399846605,5046.0,6482.0,14.0,24.0,0.2518410588984818,0.22522758734732606,0.43503960712502365,0.1855530663140272
분당구 금곡동,37.36274785749477,127.09630474116148,1629.0,2091.0,4.0,11.0,-0.4682768475919888,-0.4802790481250036,-0.3389572399072269,-0.32505646653552195
분당구 백현동,37.388249999338505,127.11027483888277,1313.0,1697.0,5.0,5.0,-0.5348724748822986,-0.5435834467531289,-0.26155755520400187,-0.5607224047737754
분당구 분당동,37.36846286452591,127.14405170583531,1522.0,2018.0,1.0,2.0,-0.49082663278206207,-0.49200803568808266,-0.571156294016902,-0.6785553738929022
분당구 삼평동,37.401533375217,127.10914898818321,1081.0,1333.0,1.0,15.0,-0.583765467070121,-0.6020677135060161,-0.571156294016902,-0.167945841043353
분당구 서현동,37.3802517136792,127.1435100833229,5952.0,7426.0,16.0,44.0,0.44277662321816763,0.37690107035481396,0.5898389765314738,0.9711061937748721
분당구 수내동,37.3730053939667,127.12285741925139,7524.0,9312.0,18.0,57.0,0.7740687944218608,0.6799266942447738,0.7446383459379239,1.4817157266244212
분당구 야탑동,37.40832617446844,127.1346002115888,8838.0,11592.0,21.0,60.0,1.0509885863822,1.046256716762859,0.9768374000475991,1.599548695743548
분당구 운중동,37.38189214063312,127.05865270552684,1157.0,1746.0,5.0,4.0,-0.5677487972154895,-0.5357105646902401,-0.26155755520400187,-0.6000000611468177
분당구 이매동,37.39680444060326,127.12744778815306,3992.0,4902.0,10.0,2.0,0.029715137493461035,-0.028632691415206586,0.12544086831212342,-0.6785553738929022
분당구 정자동,37.36517812293928,127.11472044649244,21096.0,27184.0,68.0,84.0,3.634308837409472,3.5514399233865355,4.614622581099177,2.5422124486965614
분당구 판교동,37.387076937073445,127.09260692518994,1044.0,1411.0,5.0,6.0,-0.5915630563414548,-0.5895353706303974,-0.26155755520400187,-0.5214447484007332
수정구 고등동,37.429303355176884,127.08112452282879,289.0,412.0,1.0,2.0,-0.7506760266078596,-0.7500457620758215,-0.571156294016902,-0.6785553738929022
수정구 단대동,37.45455065739617,127.15707722929152,791.0,1053.0,1.0,1.0,-0.644881707304899,-0.647055611008237,-0.571156294016902,-0.7178330302659445
수정구 복정동,37.458788087361874,127.1304874328294,529.0,702.0,2.0,2.0,-0.7000970691721813,-0.7034511539485212,-0.49375660931367704,-0.6785553738929022
수정구 산성동,37.456820174668074,127.15266673304062,548.0,730.0,0.0,5.0,-0.6960929017085234,-0.6989523641982991,-0.6485559787201272,-0.5607224047737754
수정구 수진동,37.43741885687426,127.13072151101267,3556.0,5402.0,6.0,26.0,-0.06216996851468798,0.051702839838759444,-0.1841578705007768,0.2641083790601117
수정구 시흥동,37.412001445697875,127.08348206340183,119.0,190.0,1.0,3.0,-0.7865027881247985,-0.7857147379525825,-0.571156294016902,-0.63927771751986
수정구 신촌동,37.45063934962769,127.10399260242616,43.0,60.0,0.0,0.0,-0.8025194579794299,-0.8066019760786136,-0.6485559787201272,-0.7571106866389866
수정구 신흥동,37.44454975999404,127.14495981424342,8385.0,11271.0,21.0,54.0,0.955520804222357,0.9946813056978127,0.9768374000475991,1.3638827575052945
수정구 양지동,37.46434779427106,127.16623046207165,558.0,698.0,0.0,3.0,-0.6939854451487034,-0.704093838198553,-0.6485559787201272,-0.63927771751986
수정구 태평동,37.446764859116485,127.13307970875857,14396.0,19680.0,12.0,88.0,2.222312942330118,2.345764270327013,0.28024023771857354,2.6993230741887304
중원구 금광동,37.44684007525342,127.16730235715133,4118.0,5394.0,10.0,32.0,0.056269090147192176,0.050417471338695986,0.12544086831212342,0.49977431729836513
중원구 도촌동,37.419187251004,127.16093053665182,897.0,1128.0,1.0,0.0,-0.6225426677708078,-0.6350052813201422,-0.571156294016902,-0.7571106866389866
중원구 상대원동,37.43835715110172,127.16697966212685,9111.0,12333.0,9.0,0.0,1.108522150465284,1.1653139740812366,0.04804118360889837,-0.7571106866389866
중원구 성남동,37.43130511643588,127.13285718286338,1975.0,2638.0,3.0,12.0,-0.39535885062221915,-0.39239197693316474,-0.416356924610452,-0.28577881016247975
중원구 은행동,37.45678439969141,127.17071487035061,4198.0,5734.0,4.0,12.0,0.07312874262575163,0.10504563259139289,-0.3389572399072269,-0.28577881016247975
중원구 중앙동,37.43986219172212,127.15214396940321,770.0,1126.0,2.0,5.0,-0.6493073660805209,-0.635326623445158,-0.49375660931367704,-0.5607224047737754
중원구 하대원동,37.427920507501554,127.1460827433927,1202.0,1581.0,2.0,0.0,-0.5582652426962998,-0.562221290004049,-0.49375660931367704,-0.7571106866389866
