읍면동(법정동),등록주체_시군구,등록주체_대행업체,등록주체_기타(이벤트등),종류(RFID종류_내장형),종류(RFID종류_외장형),종류(RFID종류_인식표),등록_품종수,동물소유자수,동물소유자당_동물등록수,합계,미승인,반려,데이터 기준일자
율동,6,77,0,50,28,5,28,63,1.32,83,0,0,2024-06-25
구미동,416,2822,3,1777,1271,193,96,2523,1.28,3241,1,2,2024-06-25
궁내동,29,188,0,125,77,15,41,160,1.36,217,0,1,2024-06-25
금곡동,286,1805,0,1152,831,108,72,1629,1.28,2091,0,0,2024-06-25
대장동,17,286,0,157,133,13,48,219,1.38,303,0,0,2024-06-25
동원동,5,67,0,42,25,5,27,57,1.26,72,0,0,2024-06-25
백현동,172,1523,2,1030,552,115,76,1313,1.29,1697,0,1,2024-06-25
분당동,223,1795,0,1228,651,139,72,1522,1.33,2018,0,1,2024-06-25
삼평동,137,1196,0,752,504,77,68,1081,1.23,1333,0,0,2024-06-25
서현동,430,3279,4,2146,1263,304,92,2976,1.25,3713,0,3,2024-06-25
석운동,9,36,0,29,14,2,18,32,1.41,45,0,0,2024-06-25
수내동,375,2728,1,1761,1155,188,85,2508,1.24,3104,0,1,2024-06-25
야탑동,449,3413,2,2317,1322,225,95,2946,1.31,3864,1,1,2024-06-25
운중동,144,1602,0,1044,596,106,84,1157,1.51,1746,0,2,2024-06-25
이매동,242,2208,1,1453,786,212,80,1996,1.23,2451,0,1,2024-06-25
정자동,472,6318,6,4111,2326,359,115,5274,1.29,6796,0,5,2024-06-25
판교동,123,1288,0,831,483,97,70,1044,1.35,1411,0,1,2024-06-25
하산운동,0,9,0,5,4,0,5,6,1.5,9,0,0,2024-06-25
고등동,24,388,0,242,138,32,51,289,1.43,412,0,0,2024-06-25
금토동,18,118,0,77,50,9,34,84,1.62,136,0,0,2024-06-25
단대동,78,975,0,670,300,83,57,791,1.33,1053,0,1,2024-06-25
둔전동,2,13,0,5,3,7,9,11,1.36,15,0,0,2024-06-25
복정동,46,651,5,456,194,52,57,529,1.33,702,0,2,2024-06-25
사송동,5,73,0,52,22,4,28,58,1.34,78,0,0,2024-06-25
산성동,99,630,1,424,233,73,48,548,1.33,730,0,0,2024-06-25
상적동,6,86,0,48,29,15,30,58,1.59,92,0,0,2024-06-25
수진동,173,2527,1,1850,739,112,88,1778,1.52,2701,0,6,2024-06-25
시흥동,8,181,1,93,84,13,32,119,1.6,190,0,0,2024-06-25
신촌동,9,51,0,34,17,9,19,43,1.4,60,0,0,2024-06-25
신흥동,292,3463,2,2438,1062,257,84,2795,1.34,3757,0,4,2024-06-25
심곡동,10,175,0,114,57,14,39,137,1.35,185,0,0,2024-06-25
양지동,60,637,1,427,241,30,52,558,1.25,698,0,1,2024-06-25
오야동,10,68,0,34,34,10,21,53,1.47,78,0,0,2024-06-25
창곡동,106,2392,14,1368,826,318,73,1882,1.33,2512,0,3,2024-06-25
태평동,425,4494,1,3067,1540,313,99,3599,1.37,4920,0,3,2024-06-25
중동,0,573,0,573,0,0,27,411,1.39,573,0,0,2024-06-25
갈현동,4,28,0,20,8,4,16,27,1.19,32,0,0,2024-06-25
금광동,234,2462,1,1719,811,167,74,2059,1.31,2697,0,0,2024-06-25
도촌동,85,1043,0,664,400,64,53,897,1.26,1128,0,1,2024-06-25
성남동,226,2412,0,1750,688,200,82,1975,1.34,2638,0,2,2024-06-25
여수동,43,560,2,256,314,35,55,482,1.26,605,0,0,2024-06-25
은행동,270,2596,1,1818,870,179,79,2099,1.37,2867,0,3,2024-06-25
중앙동,108,1018,0,712,344,70,55,770,1.46,1126,0,1,2024-06-25
상대원동,301,3810,0,2794,1080,237,94,3037,1.35,4111,0,0,2024-06-25
하대원동,163,1418,0,1069,392,120,65,1202,1.32,1581,0,0,2024-06-25
